No,Title,Tags,Status,Link
7264,"Getting an error while running or making a new React app I have also connected with NPM support, but their solution has not worked for me. My ticket ID is 2492208. ",Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/7264
7263,[BUG] RHEL 8 npm conflicts between attempted installs of npm-1:9.8.1-1.18.18.2.1.module+el8.8.0+20407+c11d40bd.x86_64 and nsolid-18.19.1-ns5.0.5.x86_64,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7263
7257,[BUG] `npx` doesn’t consider globally installed namespaced packages,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7257
7255,[BUG] npm install <git remote url> when git group/namespace starts with a number,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/7255
7246,"npm install fails on first attempt with 403 error when accessing Azure Artifacts, succeeds on second attempt",Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7246
7239,[BUG] npm ci --dry-run deletes node_modules folders,Good First Issue;Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7239
7231,"npm 10.4.0 fails ""npm install"" when using node 18.19.1 and running under slow multi platform ARM build",Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7231
7227,"[BUG] `npm update` only edits package-lock.json, not package.json",Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7227
7226,[BUG] `npm ci` does not remove/recreate existing `node_modules` inside workspaces,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7226
7221,[BUG] My npm install does nothing while trying to install a package,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/7221
7214,Feature: Allow Arborist to configure node_modules and manifest locations independently,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7214
7212,[BUG] BundleDependency behaviour changed,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/7212
7211,"[BUG] npm pack and publish should not run hooks, or hooks need to have opt-out",Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7211
7210,[BUG] npm http fetch GET 403 durign download from azure feed,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7210
7209,Error creating nextjs app@latest,,Open,https://github.com/npm/cli/issues/7209
7206,[BUG] `npx --version` takes >3 seconds to execute on windows,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7206
7205,[BUG] npx fails to run without empty npm directory,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7205
7204,[BUG] SBOM packages and relationships missing under some circumstances,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7204
7203,"[BUG] For higher version of node > 17.9.1 and npm cli > 8.11.0, npm pack is not packing ""bundledDependencies""",Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7203
7201,[BUG] npx . launches bin script in shell,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7201
7200,Unable to publish to GitHub Package Registry ,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7200
7199,[BUG] publish with workspaces doesn't respect access controls,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7199
7196,"[BUG] npm audit fix does not work with ""shallow"" as install-strategy",Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/7196
7193,[BUG] `npm login --location project` not writing to project configuration,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7193
7192,"[DOCS] npm help outputs content using hyphen character ""‐"" insteadof dash ""-""",Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/7192
7188,[DOCS] Is prefix a good example parameter to explain npmrc?,Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/7188
7186,[DOCS] <title>`npm help npx`,Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/7186
7183,[BUG] Module not found: Error: Can't resolve `'../node_modules/open'`,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/7183
7180,"[BUG] Running `npm deprecate package@version ""reason""` silently fails when no versions match",Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7180
7179,[BUG] Can't authenticate to publish,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/7179
7178,[BUG] audit fix does not update version in package.json,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/7178
7171,[BUG] Local path `peerDependencies` behave like `dependencies`,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7171
7169,[BUG] `--install-links=true` installs/updates local paths differently from `--install-links=false`,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7169
7167,Advice on dependency hoisting in monorepos,,Open,https://github.com/npm/cli/issues/7167
7166,"[BUG] When reinstalling, the package-lock.json is updated (local packages)",Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7166
7159,[DOCS] prepare hook not documented for `npm ci`,Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/7159
7154,[BUG] Unable to install packages because of Unable to resolve reference $@types/react-dom,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7154
7143,[BUG] peerDependencies of package behave like dependencies when package is locally installed,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7143
7139,[BUG] missing npm packages while installing puppeteer@21.5.2 with cft 119.0.6045.105 using --prefix,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7139
7138,[BUG] <title> report 'no matching version found' error during second npm install,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/7138
7137,[BUG] bundleddepencencies does not bundle dependencies in my monorepo,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7137
7130,"[BUG] In v9, installing from packages directly from Github via SSH is so much slower than before",Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/7130
7127,[BUG] `npm pkg fix` does not fix invalid `scripts` warning.,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7127
7123,[BUG] `npm audit fix` only reports and doesn't fix,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7123
7119,"npm WARN using --force Recommended protections disabled. npm ERR! code EBUSY npm ERR! syscall unlink npm ERR! path C:\Users\harsh\AppData\Local\npm-cache\_cacache\tmp\fafd65d9 npm ERR! errno EBUSY npm ERR! Invalid response body while trying to fetch https://registry.npmjs.org/@jridgewell%2fgen-mapping: EBUSY: resource busy or locked, unlink 'C:\Users\harsh\AppData\Local\npm-cache\_cacache\tmp\fafd65d9'  npm ERR! A complete log of this run can be found in: C:\Users\harsh\AppData\Local\npm-cache\_logs\2024-01-04T09_46_32_584Z-debug-0.log",Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/7119
7114,[BUG] In workspaces `npm run` autocomplete only lists root scripts,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7114
7112,[BUG] MODULE_NOT_FOUND,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7112
7110,[DOCS] Every page of `npm help <x>` should display the local npm version,Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/7110
7106,[BUG] peerDependencies not preferred over dependencies when both are present,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7106
7105,[BUG] NPM with default config can't run on read-only env,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7105
7100,[BUG] npx is ignoring NODE_PATH,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/7100
7096,"EPERM: operation not permitted, rmdir.",Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7096
7094,[BUG] npm ci --omit=dev does not omit dev deps,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7094
7091,libnpmpublish token not working,,Open,https://github.com/npm/cli/issues/7091
7089,"[BUG] npx fails with ENOENT: no such file or directory, lstat 'C:\Users\Stefnotch\AppData\Roaming\npm'",Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7089
7088,Why my code was not working?,,Open,https://github.com/npm/cli/issues/7088
